pos_No	atom_No	energy	abs_energy
158	11981	-170032.99	-0.42
148	11247	-170032.99	-0.42
138	11246	-170032.99	-0.42
128	10512	-170033	-0.43
118	10511	-170033	-0.43
218	110107	-170033.02	-0.45
228	110114	-170033	-0.43
238	109372	-170033.01	-0.44
248	109371	-170033	-0.43
258	108645	-170032.99	-0.42
268	108644	-170032.99	-0.42
159	11991	-170032.98	-0.41
149	11257	-170032.98	-0.41
139	11256	-170032.99	-0.42
129	10522	-170032.99	-0.42
119	10521	-170033.03	-0.46
219	110117	-170033.14	-0.57
229	110124	-170033.14	-0.57
239	109382	-170033.03	-0.46
249	109381	-170032.99	-0.42
259	108655	-170032.97	-0.4
269	108654	-170032.98	-0.41
150	12001	-170032.97	-0.4
140	11267	-170032.98	-0.41
130	11266	-170032.93	-0.36
120	10532	-170032.99	-0.42
110	10531	-170032.82	-0.25
210	110127	-170033.14	-0.57
220	110134	-170033.1	-0.53
230	109392	-170033.03	-0.46
240	109391	-170033.02	-0.45
250	108665	-170032.97	-0.4
260	108664	-170033	-0.43
151	12011	-170032.98	-0.41
141	11277	-170032.99	-0.42
131	11276	-170032.99	-0.42
121	10542	-170033	-0.43
111	10541	-170033.03	-0.46
211	110137	-170033.02	-0.45
221	110144	-170033.14	-0.57
231	109402	-170033.01	-0.44
241	109401	-170032.57	-0.43
251	108675	-170032.99	-0.42
261	108674	-170032.98	-0.41
154	12021	-170032.99	-0.42
144	11287	-170032.99	-0.42
134	11286	-170032.99	-0.42
124	10552	-170032.99	-0.42
114	10551	-170033	-0.43
214	110147	-170033	-0.43
224	110154	-170033	-0.43
234	109412	-170033	-0.43
244	109411	-170033	-0.43
254	108685	-170032.99	-0.42
264	108684	-170032.99	-0.42
